qualify_id,race_id,driver_id,constructor_id,number,position,q1,q2,q3,ingestion_date
258,30,20,5,15,10,1:47.152,1:46.804,1:50.319,2023-08-19T22:56:02.814+05:30
259,30,15,7,11,11,1:47.400,1:46.949,\N,2023-08-19T22:56:02.814+05:30
260,30,12,4,6,12,1:47.052,1:46.965,\N,2023-08-19T22:56:02.814+05:30
261,30,10,7,12,13,1:47.359,1:46.995,\N,2023-08-19T22:56:02.814+05:30
262,30,14,9,9,14,1:47.132,1:47.018,\N,2023-08-19T22:56:02.814+05:30
263,30,3,3,7,15,1:47.503,1:47.429,\N,2023-08-19T22:56:02.814+05:30
264,30,22,11,17,16,1:48.153,\N,\N,2023-08-19T22:56:02.814+05:30
265,30,18,11,16,17,1:48.211,\N,\N,2023-08-19T22:56:02.814+05:30
266,30,16,10,20,18,1:48.226,\N,\N,2023-08-19T22:56:02.814+05:30
267,30,6,3,8,19,1:48.268,\N,\N,2023-08-19T22:56:02.814+05:30
268,30,21,10,21,20,1:48.447,\N,\N,2023-08-19T22:56:02.814+05:30
269,31,20,5,15,1,1:35.464,1:35.837,1:37.555,2023-08-19T22:56:02.814+05:30
270,31,5,1,23,2,1:35.214,1:35.843,1:37.631,2023-08-19T22:56:02.814+05:30
271,31,17,9,10,3,1:36.001,1:36.306,1:38.117,2023-08-19T22:56:02.814+05:30
272,31,7,5,14,4,1:35.543,1:36.175,1:38.445,2023-08-19T22:56:02.814+05:30
273,31,3,3,7,5,1:35.485,1:35.898,1:38.767,2023-08-19T22:56:02.814+05:30
274,31,13,6,2,6,1:35.536,1:36.676,1:38.894,2023-08-19T22:56:02.814+05:30
275,31,15,7,11,7,1:35.906,1:36.008,1:39.152,2023-08-19T22:56:02.814+05:30
276,31,4,4,5,8,1:36.297,1:36.518,1:39.751,2023-08-19T22:56:02.814+05:30
277,31,10,7,12,9,1:35.737,1:36.525,1:39.787,2023-08-19T22:56:02.814+05:30
278,31,2,2,3,10,1:35.709,1:36.626,1:39.906,2023-08-19T22:56:02.814+05:30
279,31,9,2,4,11,1:35.553,1:36.697,\N,2023-08-19T22:56:02.814+05:30
280,31,21,10,21,12,1:36.280,1:36.698,\N,2023-08-19T22:56:02.814+05:30
281,31,14,9,9,13,1:36.485,1:37.284,\N,2023-08-19T22:56:02.814+05:30
282,31,8,6,1,14,1:35.965,1:37.522,\N,2023-08-19T22:56:02.814+05:30
283,31,1,1,22,15,1:35.394,1:39.265,\N,2023-08-19T22:56:02.814+05:30
284,31,22,11,17,16,1:36.510,\N,\N,2023-08-19T22:56:02.814+05:30
285,31,12,4,6,17,1:36.630,\N,\N,2023-08-19T22:56:02.814+05:30
286,31,6,3,8,18,1:36.653,\N,\N,2023-08-19T22:56:02.814+05:30
287,31,18,11,16,19,1:37.006,\N,\N,2023-08-19T22:56:02.814+05:30
288,31,16,10,20,20,1:37.417,\N,\N,2023-08-19T22:56:02.814+05:30
289,32,13,6,2,1,1:44.519,1:44.014,1:44.801,2023-08-19T22:56:02.814+05:30
290,32,1,1,22,2,1:44.501,1:44.932,1:45.465,2023-08-19T22:56:02.814+05:30
291,32,8,6,1,3,1:44.282,1:44.232,1:45.617,2023-08-19T22:56:02.814+05:30
292,32,9,2,4,4,1:44.740,1:44.519,1:45.779,2023-08-19T22:56:02.814+05:30
293,32,5,1,23,5,1:44.311,1:44.207,1:45.873,2023-08-19T22:56:02.814+05:30
294,32,2,2,3,6,1:45.548,1:44.520,1:45.964,2023-08-19T22:56:02.814+05:30
295,32,20,5,15,7,1:45.042,1:44.261,1:46.244,2023-08-19T22:56:02.814+05:30
